date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:01	627574/627574	---MCZ	200	added ('OK')	text/html	etag:W/%2210cec4b22f1e07a51057d5c9c8cf2ea1%22	https://frame.io/v4?ref=saaspo.com	/Users/dhruv/websites/Speak%20Savvy/frame.io/v4d7e8.html	(from )
18:27:01	125/125	---M--	200	added ('OK')	text/plain	etag:%2275fc88878e6f907e92aa3ea1123462ad%22	https://frame.io/robots.txt		(from )
18:27:02	46968/46968	---M--	200	added ('OK')	font/woff2	etag:%22f98283bfbba07f60d0c63fb40e16dd72%22	https://frame.io/_next/static/media/047e9a130b09a20c-s.p.woff2	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/media/047e9a130b09a20c-s.p.woff2	(from https://frame.io/v4?ref=saaspo.com)
18:27:03	64004/64004	---M--	200	added ('OK')	font/woff	etag:%22deac63248051b056009f69b003078666%22	https://frame.io/_next/static/media/19874d4df76220a9-s.p.woff	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/media/19874d4df76220a9-s.p.woff	(from https://frame.io/v4?ref=saaspo.com)
18:27:04	19743/19743	---MCZ	200	added ('OK')	text/css	etag:W/%2223ce126b1e546ed5666874f790961ad9%22	https://frame.io/_next/static/css/2b22909c7ab889a6.css	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/css/2b22909c7ab889a6.css	(from https://frame.io/v4?ref=saaspo.com)
18:27:06	31161/31161	---MCZ	200	added ('OK')	text/css	etag:W/%22d491eeaebfb4dcd7b17be0ee51d06256%22	https://frame.io/_next/static/css/b3232fa296bcabd6.css	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/css/b3232fa296bcabd6.css	(from https://frame.io/v4?ref=saaspo.com)
18:27:07	35241/35241	---MCZ	200	added ('OK')	text/css	etag:W/%221502caf7e2854e00b54a8a544b99130b%22	https://frame.io/_next/static/css/4ef615f69d8733c2.css	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/css/4ef615f69d8733c2.css	(from https://frame.io/v4?ref=saaspo.com)
18:27:07	53699/53699	---MCZ	200	added ('OK')	text/css	etag:W/%2268d8acde79193149920ba76ea7f3f37e%22	https://frame.io/_next/static/css/76bd4c54e1585539.css	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/css/76bd4c54e1585539.css	(from https://frame.io/v4?ref=saaspo.com)
18:27:09	248071/248071	---MCZ	200	added ('OK')	text/css	etag:W/%22fac553d7e082a1a37f0dd914ca7ee08d%22	https://frame.io/_next/static/css/a9f1581415a15378.css	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/css/a9f1581415a15378.css	(from https://frame.io/v4?ref=saaspo.com)
18:27:10	25170/25170	---MCZ	200	added ('OK')	text/css	etag:W/%224d58ac12be7ff1d68415fbf5ff6c3ed4%22	https://frame.io/_next/static/css/678f08cf88aea2a0.css	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/css/678f08cf88aea2a0.css	(from https://frame.io/v4?ref=saaspo.com)
18:27:10	92/92	---M--	200	added ('OK')	text/css	etag:%2231a15493c647510a076b1d223747398c%22	https://frame.io/_next/static/css/9a383d4b2254ecb2.css	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/css/9a383d4b2254ecb2.css	(from https://frame.io/v4?ref=saaspo.com)
18:27:11	12107/12107	---MCZ	200	added ('OK')	text/css	etag:W/%22c8cadc25fb5479016245dca0a9973f4f%22	https://frame.io/_next/static/css/116b2107aeabb03a.css	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/css/116b2107aeabb03a.css	(from https://frame.io/v4?ref=saaspo.com)
18:27:12	4299/4299	---MCZ	200	added ('OK')	application/javascript	etag:W/%226b9d4604b3aa4bf473a8faed7cb74c84%22	https://frame.io/_next/static/chunks/webpack-e7e1b64e9701b7d2.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/webpack-e7e1b64e9701b7d2.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:14	171957/171957	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f072ed61b3ed2f47bbe02f0e05a8cd25%22	https://frame.io/_next/static/chunks/fd9d1056-995c4a605778d171.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/fd9d1056-995c4a605778d171.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:15	104776/104776	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f88f9272daa6e8eaad662b92f0f3e6d8%22	https://frame.io/_next/static/chunks/938-84780ea2d43630a6.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/938-84780ea2d43630a6.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:15	525/525	---M--	200	added ('OK')	application/javascript	etag:%22cd024fb39c536f9a8b0d7930e1378161%22	https://frame.io/_next/static/chunks/main-app-fb371c3a13db0823.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/main-app-fb371c3a13db0823.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:17	51965/51965	---MCZ	200	added ('OK')	application/javascript	etag:W/%2225a34cd7b8d546c95d1cacc74012e000%22	https://frame.io/_next/static/chunks/c15bf2b0-3cc01cdc5a56a721.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/c15bf2b0-3cc01cdc5a56a721.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:17	46629/46629	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ef1881d0462708530a0c9a62206ced2b%22	https://frame.io/_next/static/chunks/95-e69167b7af32be1c.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/95-e69167b7af32be1c.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:18	6849/6849	---MCZ	200	added ('OK')	application/javascript	etag:W/%221036f94c523dd373c70c858f5ddfb2c7%22	https://frame.io/_next/static/chunks/50-9903ab9bcd5a3a3f.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/50-9903ab9bcd5a3a3f.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:20	31072/31072	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c2c9b449858045dd06aa7179a32d3ec1%22	https://frame.io/_next/static/chunks/468-929e6ac76a5e5696.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/468-929e6ac76a5e5696.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:21	12604/12604	---MCZ	200	added ('OK')	application/javascript	etag:W/%2249b1a75d8373a792823d195eda8f4606%22	https://frame.io/_next/static/chunks/app/layout-176bce1f800b7854.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/app/layout-176bce1f800b7854.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:21	30652/30652	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261c6f47dd1c8364a6f22f9dacf94c756%22	https://frame.io/_next/static/chunks/13efdb55-e971de43da029763.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/13efdb55-e971de43da029763.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:24	388329/388329	---MCZ	200	added ('OK')	application/javascript	etag:W/%2208d8f663406138b72e9aac7d9308aa21%22	https://frame.io/_next/static/chunks/a4634e51-f9a59b4a442328b7.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/a4634e51-f9a59b4a442328b7.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:24	148179/148179	---MCZ	200	added ('OK')	application/javascript	etag:W/%225514f21d7fbc0b266001415c9b669c45%22	https://frame.io/_next/static/chunks/345-8432a1b8969398f6.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/345-8432a1b8969398f6.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:26	93053/93053	---MCZ	200	added ('OK')	application/javascript	etag:W/%2201d795395af25ecb962edb810a59c054%22	https://frame.io/_next/static/chunks/593-3291da3b45d2194a.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/593-3291da3b45d2194a.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:26	334994/334994	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e8ffcd992f6c21292c992240792c6099%22	https://frame.io/_next/static/chunks/663-a1f2b0d11814a0fc.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/663-a1f2b0d11814a0fc.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:27	54176/54176	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a8411335da984952640817872cdf445e%22	https://frame.io/_next/static/chunks/25-574b9bec114e164c.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/25-574b9bec114e164c.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:27	58172/58172	---MCZ	200	added ('OK')	application/javascript	etag:W/%221bcfd030b61d12b52d26eea37286ebc9%22	https://frame.io/_next/static/chunks/976-58edf2d187a3dc69.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/976-58edf2d187a3dc69.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:30	296239/296239	---MCZ	200	added ('OK')	application/javascript	etag:W/%223351eb4bfb32a3dec6432d28afe25492%22	https://frame.io/_next/static/chunks/316-7608b02e3aecea07.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/316-7608b02e3aecea07.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:30	31757/31757	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d4b1c4e00547c250d39ed3b91395f9da%22	https://frame.io/_next/static/chunks/526-f78ac7706bc22571.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/526-f78ac7706bc22571.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:30	3873/3873	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fa39f8b9d7912830ce0aeae949389c4%22	https://frame.io/_next/static/chunks/app/%5B%5B...slug%5D%5D/layout-a18287023f1015d0.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/app/[[...slug]]/layout-a18287023f1015d0.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:31	9613/9613	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c328f60c1aae5c01371a9c4475d75ac3%22	https://frame.io/_next/static/chunks/586-d40e2c80e83160fe.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/586-d40e2c80e83160fe.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:32	4315/4315	---MCZ	200	added ('OK')	application/javascript	etag:W/%22387d7a9551c0daa56fbe09fa337b0e8f%22	https://frame.io/_next/static/chunks/app/%5B%5B...slug%5D%5D/page-e38dd83974d46059.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/app/[[...slug]]/page-e38dd83974d46059.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:33	1658/1658	---MCZ	200	added ('OK')	application/javascript	etag:W/%2238dae896e3229020bb554475672f7b81%22	https://frame.io/_next/static/chunks/app/%5B%5B...slug%5D%5D/error-703ec3bf815f2342.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/app/[[...slug]]/error-703ec3bf815f2342.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:34	491/491	---M--	200	added ('OK')	application/json	etag:%22ad718a4f3fdbe1776bb6fd4c697151e7%22	https://frame.io/manifest.json	/Users/dhruv/websites/Speak%20Savvy/frame.io/manifest.json	(from https://frame.io/v4?ref=saaspo.com)
18:27:36	2200/2200	---M--	200	added ('OK')	image/png	etag:%22a3319aaa9382df00ea72de9d7d8a041f%22	https://frame.io/favicon.png	/Users/dhruv/websites/Speak%20Savvy/frame.io/favicon.png	(from https://frame.io/v4?ref=saaspo.com)
18:27:37	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%222252c000ef405ff3b9f86a1979336eb7%22	https://frame.io/favicon.ico	/Users/dhruv/websites/Speak%20Savvy/frame.io/favicon.ico	(from https://frame.io/v4?ref=saaspo.com)
18:27:38	2043/2043	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225702217175d08cb90860efda506c35e9%22	https://frame.io/favicon.svg	/Users/dhruv/websites/Speak%20Savvy/frame.io/favicon.svg	(from https://frame.io/v4?ref=saaspo.com)
18:27:40	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://frame.io/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://frame.io/v4?ref=saaspo.com)
18:27:40	627574/627574	---MCZ	200	added ('OK')	text/html	etag:W/%2210cec4b22f1e07a51057d5c9c8cf2ea1%22	https://frame.io/v4	/Users/dhruv/websites/Speak%20Savvy/frame.io/v4.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:40	634262/634262	---MCZ	200	added ('OK')	text/html	etag:W/%224fbbc58197f1fc36a928617d630f29e3%22	https://frame.io/	/Users/dhruv/websites/Speak%20Savvy/frame.io/index.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:42	466326/466326	---MCZ	200	added ('OK')	text/html	etag:W/%2281c9f61f6dd8cc8bb08927cde1334bf7%22	https://frame.io/integrations/creative-cloud	/Users/dhruv/websites/Speak%20Savvy/frame.io/integrations/creative-cloud.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:42	689460/689460	---MCZ	200	added ('OK')	text/html	etag:W/%22c4f6a14b95b171629d335ccb72ee48b3%22	https://frame.io/integrations	/Users/dhruv/websites/Speak%20Savvy/frame.io/integrations.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:43	282670/282670	---MCZ	200	added ('OK')	text/html	etag:W/%22e277b84d4cf83908e7f2865b9f338b59%22	https://frame.io/integrations/final-cut-pro	/Users/dhruv/websites/Speak%20Savvy/frame.io/integrations/final-cut-pro.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:45	281573/281573	---MCZ	200	added ('OK')	text/html	etag:W/%22610b891e1f548ca861cca8b710d27984%22	https://frame.io/integrations/avid-media-composer	/Users/dhruv/websites/Speak%20Savvy/frame.io/integrations/avid-media-composer.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:45	714660/714660	---MCZ	200	added ('OK')	text/html	etag:W/%22375ff8749bb6b21cdd0b546da54a9110%22	https://frame.io/enterprise	/Users/dhruv/websites/Speak%20Savvy/frame.io/enterprise.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:46	345163/345163	---MCZ	200	added ('OK')	text/html	etag:W/%22e2eeb2fdec6154cb1785489c3603fabd%22	https://frame.io/content-supply-chain	/Users/dhruv/websites/Speak%20Savvy/frame.io/content-supply-chain.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:47	815537/815537	---MCZ	200	added ('OK')	text/html	etag:W/%22d52cf1c099ed3d4d7a5c107bf7009e5b%22	https://frame.io/c2c	/Users/dhruv/websites/Speak%20Savvy/frame.io/c2c.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:48	671443/671443	---MCZ	200	added ('OK')	text/html	etag:W/%2297780f674bb48531e6de578ad52ee8d8%22	https://frame.io/customers	/Users/dhruv/websites/Speak%20Savvy/frame.io/customers.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:50	272771/272771	---MCZ	200	added ('OK')	text/html	etag:W/%22feb9c853f005ec777d4125cd5911c46c%22	https://frame.io/live	/Users/dhruv/websites/Speak%20Savvy/frame.io/live.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:50	973515/973515	---MCZ	200	added ('OK')	text/html	etag:W/%22e4449754c2952f862e699df8c6374654%22	https://frame.io/pricing	/Users/dhruv/websites/Speak%20Savvy/frame.io/pricing.html	(from https://frame.io/v4?ref=saaspo.com)
